"name","cpu","ram","gpu","storage","screen_size","screen_resolution","screen_tech","battery","os","color","price","rating","review_text"
"Laptop Acer Gaming Aspire 7 A715-59G-57TU","Intel Core i5-12450H (8 lõi / 12 luồng, Tần số Turbo tối đa của E-core : 3.3 GHz, Tần số Turbo tối đa của P-core : 4.4 GHz, 12 MB Intel Smart Cache)","2 khe (Máy nguyên bản 16GB)","NVIDIA GeForce RTX 3050 6 GB, supporting 2560 NVIDIA CUDA Cores","512GB PCIe NVMe SSD (Nâng cấp tối đa 4TB)","15.6 inches","1920 x 1080 pixels (FullHD)","Độ sáng 250nits
Độ phủ màu 45% NTSC
Acer ComfyView
Màn hình LCD TFT có đèn nền LED
Góc nhìn rộng lên đến 170 độ
Thiết kế siêu mỏng","Pin Li-ion 3 cell 54,8Wh
Bộ đổi nguồn AC 150W","Windows 11 Home Single Language","Đen","19.990.000₫","5 sao/ (3 đánh giá)",""
"Laptop Gaming Acer Nitro V 15 ProPanel ANV15-41-R7CR","AMD Ryzen 5 7535HS (6 lõi / 12 luồng / Base Clock: 3.3 GHz / Max. Boost Clock: Up to 4.55 GHz / 3MB L2 Cache; 16MB L3 Cache)","2 khe (1 x 16GB, nâng cấp tối đa 96GB)","NVIDIA GeForce RTX 4050 6 GB GDDR6 VRAM, hỗ trợ 2560 NVIDIA CUDA Cores","512GB PCIe NVMe SSD (Tối đa 4TB PCIe Gen4 NVMe SSD)","15.6 inches","1920 x 1080 pixels (FullHD)","Độ sáng 300nits
Độ phủ màu sRGB 100%
Màn hình LCD TFT đèn nền LED Acer ComfyView
Góc nhìn rộng","57Whr 4-cell Li-ion Battery, 135W AC Adapter","Windows 11 Home Single Language","Đen","26.990.000₫","",""
"Laptop Acer Nitro V ANV15-41-R2UP","AMD Ryzen 5 6600H (6 lõi / 12 luồng, 3.3 GHz, 4.5 GHz, 3 MB L2 cache, up to 16 MB L3 cache)","2 khe (1 x 16GB, nâng cấp tối đa 64GB)","NVIDIA GeForce RTX 2050 với 4 GB VRAM GDDR6 chuyên dụng, hỗ trợ 2048 lõi NVIDIA CUDA","512GB PCIe NVMe SSD (nâng cấp tối đa 4 TB SSD)","15.6 inches","1920 x 1080 pixels (FullHD)","Màn hình LCD TFT có đèn nền LED Acer ComfyView
Độ phủ màu 45% NTSC
Độ sáng 300nits","57Whr 4-cell, 135W AC Adapter","Windows 11 Home Single Language","Đen","17.990.000₫","",""
"Laptop Acer Aspire Lite Gen 2 AL14-52M-32KV","Intel Core i3-1305U (5 lõi / 6 luồng, 3.3 GHz, 4.5 GHz, 10 MB Intel Smart Cache)","2 khe (1 x 8GB) Nâng cấp tối đa 64GB","Intel UHD Graphics","256GB PCIe NVMe SSD (nâng cấp tối đa 2TB SSD)","14 inches","1920 x 1200 pixels (WUXGA)","Độ sáng 300 nits
Độ phủ màu 45% NTSC","Pin Li-ion 3 cell 58Wh
Bộ chuyển đổi 65W PD Type C","Windows 11 Home SL","Xám","11.490.000₫","5 sao/ (9 đánh giá)",""
"Laptop Acer Gaming Nitro Lite 16 NL16-71G-71UJ","Intel Core i7-13620H (10 lõi / 16 luồng / Tần số Turbo tối đa của E-core : 3.6 GHz / Tần số Turbo tối đa của P-core : 4.9 GHz / 24 MB Intel Smart Cache)","1 RAM Onboard + 1 khe RAM rời (Nâng cấp lên tối đa 56GB (8GB Onboard + 48GB 1 thanh RAM rời))","NVIDIA GeForce RTX 3050 với 6 GB VRAM GDDR6 chuyên dụng, hỗ trợ 2560 lõi NVIDIA CUDA","512GB PCIe NVMe SSD (Nâng cấp tối đa 2TB)","16 inches","1920 x 1200 pixels (FullHD+)","Độ phủ màu NTSC 45%
Màn hình LCD TFT đèn nền LED ComfyView của Acer
Góc nhìn rộng lên đến 170 độ
Độ sáng 300nits","53Wh 3-cell Li-ion battery
100W Type C adapter","Windows 11 Home Single Language","Trắng","26.590.000₫","5 sao/ (2 đánh giá)",""
"Laptop Acer Gaming Nitro V 15 ProPanel ANV15-41-R9M1","AMD Ryzen 5 7535HS (6 lõi / 12 luồng, Base Clock: 3.3 GHz, Max. Boost Clock: Up to 4.55 GHz, 3MB L2 Cache; 16MB L3 Cache)","2 khe (1 x 16GB, nâng cấp tối đa 96GB)","NVIDIA GeForce RTX 3050 với 6 GB VRAM GDDR6 chuyên dụng, hỗ trợ 2560 lõi NVIDIA CUDA","512GB PCIe NVMe SSD (Up to 4TB PCIe Gen4 NVMe SSD)","15.6 inches","1920 x 1080 pixels (FullHD)","Độ sáng 300nits
Độ phủ màu sRGB 100%
Màn hình LCD TFT đèn nền LED Acer ComfyView
Góc nhìn rộng","Pin Li-ion 4 cell 57Whr
Bộ đổi nguồn AC 135W","Windows 11 Home Single Language","Đen","23.990.000₫","4 sao/ (1 đánh giá)",""
"Laptop Acer Aspire Lite 16 GEN 2 AL16-52P-76DU","Intel Core i7 Raptor Lake - 1355U (10 lõi / 12 luồng, 1.7GHz, Turbo Boost 5.0 GHz)","2 khe (1 khe 16 GB + 1 khe rời, nâng cấp tối đa 64 GB)","Intel Iris Xe Graphics","512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB)","16 inches","1920 x 1200 pixels (FullHD+)","LED Backlit
Acer ComfyView
Độ phủ màu 45% NTSC
Độ sáng 300nits","3-cell Li-ion, 58 Wh","Windows 11 Home SL","Bạc","16.690.000₫","",""
"Laptop Acer Aspire Lite 15 AL15-41P-R3U5 NX.J53SV.001","AMD Ryzen 7 5700U (8 lõi / 16 luồng, 1.8 GHz - 4.3 GHz, Total Cache L2 : 4MB - Total Cache L3 : 8MB)","2 khe (Nâng cấp tối đa 32GB)","AMD Radeon Graphics","512GB PCIe NVMe SSD (Nâng cấp tối đa 2TB)","15.6 inches","1920 x 1080 pixels (FullHD)","Độ sáng 250 nits
Độ phủ màu NTSC 45%
Màn hình chống chói
Acer ComfyView","Pin Li-ion 3 cell 58Wh, Bộ chuyển đổi 65W PD Type C","Windows 11 Home Single Language","Bạc","12.990.000₫","5 sao/ (1 đánh giá)",""
"Laptop Acer Nitro V 15 ANV15-41-R1JY","AMD Ryzen 5 6600H (6 lõi / 12 luồng, 3.30 GHz - 4.50 GHz, 3 MB L2 cache, up to 16 MB L3 cache)","2 khe (1 x 16GB, nâng cấp tối đa 96GB (cắm sẵn 16GB))","NVIDIA GeForce RTX 3050 6GB GDDR6 VRAM","512GB PCIe NVMe SSD (Up to 4TB PCIe Gen4 NVMe SSD)","15.6 inches","1920 x 1080 pixels (FullHD)","Độ sáng 300 nits
Độ phủ màu NTSC 45%
Acer ComfyView","57Whr 4-cell, Adapter: 135W AC adapter","Windows 11 Home Single Language","Đen","19.490.000₫","5 sao/ (1 đánh giá)",""
"Laptop Gaming Acer Nitro V 15 ProPanel ANV15-41-R7AP","AMD Ryzen 5 7535HS (6 lõi, 12 luồng, 3.3GHz, 4.55GHz, 3MB L2 cache, 16MB L3 cache)","2 khe (2 x 8GB)","NVIDIA GeForce RTX 2050 4GB GDDR6 VRAM","512GB PCIe NVMe SSD, (Nâng cấp tối đa 4TB PCIe Gen4 NVMe SSD)","15.6 inches","1920 x 1080 pixels (FullHD)","Độ sáng 300nits
Độ phủ màu 100% sRGB
Acer ComfyVie
Màn hình LCD TFT có đèn nền LED
Góc nhìn rộng lên đến 170 độ","57Whr 4-cell Adapter: 135W AC adapter","Windows 11 Home Single Language","Đen","17.390.000₫","5 sao/ (4 đánh giá)",""
"Laptop Acer Gaming Aspire 7 A715-59G-73LB","Intel Core i7-12650H (10 lõi / 16 luồng, Tần số Turbo tối đa của E-core : 3.5 GHz,Tần số Turbo tối đa của P-core : 4.7 GHz)","2 khe (1 x 16GB, nâng cấp tối đa 32GB)","NVIDIA GeForce RTX 3050 6 GB, supporting 2560 NVIDIA CUDA Cores","512GB PCIe NVMe SSD (Nâng cấp tối đa 4TB)","15.6 inches","1920 x 1080 pixels (FullHD)","Độ sáng 250nits
Độ phủ màu 45% NTSC
Acer ComfyView
Màn hình LCD TFT có đèn nền LED
Góc nhìn rộng lên đến 170 độ
Thiết kế siêu mỏng","Pin Li-ion 3 cell 54,8Wh
Bộ đổi nguồn AC 150W","Windows 11 Home Single Language","Đen","22.590.000₫","",""
"Laptop Gaming Acer Nitro V 15 ProPanel ANV15-51-73BT","Intel Core i7-13620H (10 lõi / 16 luồng, 3.6 GHz - 4.9 GHz, 24 MB Intel Smart Cache)","2 khe (1 x 16GB, nâng cấp tối đa 96GB)","NVIDIA GeForce RTX 2050 với 4GB VRAM GDDR6 chuyên dụng","512GB PCIe NVMe SSD (nâng cấp tối đa 4 TB SSD)","15.6 inches","1920 x 1080 pixels (FullHD)","Độ sáng 300nits
Độ phủ màu sRGB 100%
Màn hình LCD TFT đèn nền LED Acer ComfyView
Góc nhìn rộng lên đến 170 độ
Thiết kế siêu mỏng","57Whr 4-cell
135W 5.5 PHY Adapter","Windows 11 Home SL","Đen","20.990.000₫","",""
"Laptop Acer Gaming Nitro Lite 16 NL16-71G-56WQ","Intel Core i5-13420H (8 lõi / 12 luồng, Tần số Turbo tối đa của E-core: 3.4 GHz, Tần số Turbo tối đa của P-core: 4.6 GHz, 12 MB Intel Smart Cache)","2 khe (1 x 8GB Onboard + 1 x 8GB rời, nâng cấp lên tối đa 56GB (8GB Onboard + 48GB 1 thanh RAM rời))","NVIDIA GeForce RTX 3050 với 6 GB VRAM GDDR6 chuyên dụng, hỗ trợ 2560 lõi NVIDIA CUDA","512GB PCIe NVMe SSD (Nâng cấp tối đa 2TB)","16 inches","1920 x 1200 pixels (FullHD+)","Độ phủ màu NTSC 45%
Độ sáng 300nits
Acer ComfyView LED-backlit TFT LCD
Góc nhìn rộng lên đến 170 độ","Pin Li-ion 3 cell 53Wh
Bộ chuyển đổi TypeC 100W","Windows 11 Home Single Language","Trắng","24.590.000₫","",""
"Laptop Gaming Acer Nitro V ANV15-51-72VS","Intel Core i7-13620H (10 lõi / 16 luồng, upto 4.90 GHz, 24 MB)","2 khe (8 GB + 8 GB), Hỗ trợ nâng cấp tối đa 32GB","NVIDIA GeForce RTX 2050 4GB GDDR6 VRAM","512GB PCIe NVMe SSD (nâng cấp tối đa 2TB)","15.6 inches","1920 x 1080 pixels (FullHD)","Acer ComfyView LED-backlit TFT LCD","4 cell, 57Wh","Windows 11 Home","Đen","18.990.000₫","5 sao/ (7 đánh giá)",""
"Laptop Acer Aspire Lite 14 AL14-71M-52GQ","Intel Core i5-12500H (Up to 4.50GHz, 12 lõi, 16 luồng, 18MB Intel Smart Cache)","2x 8GB (1 RAM Onboard + 1 khe RAM rời, Nâng cấp tối đa 40GB)","Intel Iris Xe Graphics","512GB SSD PCIe NVMe (1 x M.2 PCIe NVMe, Nâng cấp tối đa 2TB SSD)","14 inches","1920 x 1200 pixels (WUXGA)","Độ sáng 300nits
Độ phủ màu 45% NTSC
Acer ComfyView","3 cell 58WHrs","Windows 11 Home Single Language","Bạc","14.890.000₫","4.9 sao/ (8 đánh giá)",""
"Laptop Acer Gaming Nitro V 15 ProPanel ANV15-41-R0Y4","AMD Ryzen 7 7735HS (8 lõi / 16 luồng, Base Clock: 3.2 GHz, Max. Boost Clock: Up to 4.75 GHz, 4MB L2 Cache; 16MB L3 Cache)","2 khe (1 x 16GB, nâng cấp tối đa 96GB)","NVIDIA GeForce RTX 4050 với 6 GB VRAM GDDR6 chuyên dụng, hỗ trợ 2560 lõi NVIDIA CUDA","512GB PCIe NVMe SSD (Up to 4TB PCIe Gen4 NVMe SSD)","15.6 inches","1920 x 1080 pixels (FullHD)","Độ sáng 300nits
Độ phủ màu sRGB 100%
Màn hình LCD TFT đèn nền LED Acer ComfyView
Góc nhìn rộng","Pin Li-ion 4 cell 57Whr
Bộ đổi nguồn AC 135W","Windows 11 Home Single Language","Đen","28.990.000₫","5 sao/ (1 đánh giá)",""
"Laptop Acer Aspire Lite 15 AL15-72P-7232","Intel Core i7-13620H (10 lõi / 16 luồng, Tần số Turbo tối đa của E-core: 3.6 GHz, Tần số Turbo tối đa của P-core: 4.9 GHz, 24 MB Intel Smart Cache)","2 khe (1 x 16GB, nâng cấp tối đa 64GB)","Intel UHD Graphics","512GB PCIe NVMe SSD (Nâng cấp tối đa 2TB)","15.6 inches","1920 x 1080 pixels (FullHD)","Độ sáng 250 nits
Độ phủ màu NTSC 45%
Màn hình LCD TFT đèn nền LED Acer ComfyView
Góc nhìn rộng","58Wh 3-cell Li-ion battery
90W AC adapter","Windows 11 Home Single Language","Bạc","16.990.000₫","",""
"Laptop Acer Aspire Lite 15 AL15-71P-517D","Intel Core i5-12450H (8 lõi / 12 luồng, up to 4.40 GHz, 12 MB)","2 khe rời (Máy nguyên bản 16GB, nâng cấp tối đa 64GB)","Intel UHD Graphics","512GB PCIe NVMe SSD","15.6 inches","1920 x 1080 pixels (FullHD)","Độ sáng 250nits
Acer ComfyView","58Wh 3-cell Li-ion battery","Windows 11 Home","Bạc","14.190.000₫","4.9 sao/ (8 đánh giá)",""
"Laptop Acer Aspire Lite 15 AL15-72P-581V","Intel Core i5-13500H (12 lõi / 16 luồng, Tần số Turbo tối đa của E-core : 3.5 GHz, Tần số Turbo tối đa của P-core : 4.7 GHz, 18 MB Intel Smart Cache)","2 khe (1 x 16GB, nâng cấp tối đa 64GB)","Intel UHD Graphics","512GB PCIe NVMe SSD (Nâng cấp tối đa 2TB)","15.6 inches","1920 x 1080 pixels (FullHD)","Màn hình LCD TFT đèn nền LED Acer ComfyView
Góc nhìn rộng
Độ phủ màu NTSC 45%
Độ sáng 250nits","Pin Li-ion 3 cell 58Wh
Bộ đổi nguồn AC 90W","Windows 11 Home Single Language","Bạc","15.690.000₫","",""
"Laptop Acer Swift Lite 14 AI SFL14-51M-56HS","Intel Core Ultra 5 125U (12 lõi / 14 luồng, 3.6 GHz, 4.3 GHz, 12 MB Intel Smart Cache)","2 khe nâng cấp tối đa 32GB (2x 8GB)","Intel Graphics","512GB PCIe NVMe SSD (Nâng cấp tối đa 2TB)","14 inches","1920 x 1200 pixels (FullHD+)","Độ sáng 300 nits
Độ phủ màu 45% NTSC
Acer ComfyView LED-backlit TFT LCD","58Whr 3-cell 65W PD Type-C Adapter","Windows 11 Home SL","Bạc","16.690.000₫","5 sao/ (11 đánh giá)",""
"Laptop Acer Nitro V 15 ProPanel ANV15-51-73UU","Intel Core i7-13620H (10 lõi / 12 luồng, 3.6 GHz, 4.9 GHz, 24 MB Intel Smart Cache)","2 khe rời (1x 16GB, Nâng cấp tối đa 64GB)","NVIDIA GeForce RTX 3050 6GB GDDR6","512GB PCIe NVMe SSD (nâng cấp tối đa 4 TB SSD)","15.6 inches","1920 x 1080 pixels (FullHD)","Độ sáng 300nits
Độ phủ màu sRGB 100%
Màn hình LCD TFT đèn nền LED ComfyView của Acer
Góc nhìn rộng lên đến 170 độ
Thiết kế siêu mỏng","57Whr 4-cell, 135W 5.5 PHY Adapter","Windows 11 Home SL","Đen","25.490.000₫","",""
"Laptop Acer Aspire Lite 15 AL15-42P-R08M","AMD Ryzen 7 7730U, 8 nhân / 16 luồng, xung nhịp cơ bản 2.0GHz, tối đa 4.5GHz, bộ nhớ đệm 16MB L3 & 4MB L2","2 khe (1 x 16GB, nâng cấp tối đa 32GB)","AMD Radeon Graphics","512GB PCIe NVMe SSD (Nâng cấp tối đa 2TB)","15.6 inches","1920 x 1080 pixels (FullHD)","Độ sáng 250nits
Độ phủ màu NTSC 45%
Acer ComfyView LED-backlit TFT LCD
16:9
Wide viewing angle
Ultra-slim design","58Wh 3-cell Li-ion battery
65W Type-C Adapter","Windows 11 Home Single Language","Bạc","16.490.000₫","",""
"Laptop Acer Aspire Go 14 AI AG14-71M-57WR","Intel Core Ultra 5 125H (14 lõi / 18 luồng, Tần số Turbo tối đa của E-core : 3.6 GHz, Tần số Turbo tối đa của P-core : 4.5 GHz,18 MB Intel Smart Cache)","2 khe (1 x 16GB, nâng cấp tối đa 96GB)","Intel Arc Graphics","512GB PCIe NVMe SSD (Nâng cấp tối đa 2TB)","14 inches","1920 x 1200 pixels (FullHD+)","Màn hình LCD TFT đèn nền LED Acer ComfyView
Góc nhìn rộng
Độ phủ màu sRGB 100%
Độ sáng 300nits","Pin Li-ion 3 cell 55 Wh
Bộ chuyển đổi AC USB Type-C 65 W PD","Windows 11 Home Single Language","Xám","16.490.000₫","",""
"Laptop Acer Aspire Lite 16 AL16-51P-72S2","Intel Core i7-1255U (10 lõi / 12 luồng, 3.5 GHz, turbo boost 4.7 GHz, 12 MB Intel Smart Cache)","2 khe (1 x 16GB, nâng cấp tối đa 64GB)","Intel Iris Xe Graphics","512GB PCIe NVMe SSD (Hỗ trợ khe cắm SSD M.2, nâng cấp tối đa 2TB SSD)","16 inches","1920 x 1200 pixels (FullHD+)","Độ sáng 300 nits
Độ phủ màu 45% NTSC
Màn hình LCD TFT đèn nền LED ComfyView của Acer
Góc nhìn rộng lên đến 170 độ","Li-ion Battery 58Whr 3-cell 65W PD Type-C Adapter","Windows 11 Home SL","Xám","15.690.000₫","4.6 sao/ (8 đánh giá)",""
"Laptop Acer Gaming Nitro V 15 ProPanel ANV15-52-72BM","Intel Core i7-13620H (10 lõi / 16 luồng, Tần số Turbo tối đa của E-core: 3.6 GHz, Tần số Turbo tối đa của P-core: 4.9 GHz, 24 MB Intel Smart Cache)","2 khe (1 x 16GB, nâng cấp tối đa 64GB)","NVIDIA GeForce RTX 5050","512GB PCIe NVMe SSD (Nâng cấp tối đa 2TB)","15.6 inches","1920 x 1080 pixels (FullHD)","Độ sáng 300nits
Độ phủ màu sRGB 100%
Màn hình LCD TFT đèn nền LED Acer ComfyView
Góc nhìn rộng
Thiết kế siêu mỏng
Màn hình chống chói","Pin Li-ion 4 cell 76Wh
Bộ chuyển đổi 135W 5.5PHY","Windows 11 Home Single Language","Đen","32.990.000₫","",""
"Laptop Acer Aspire Lite 15 AL15-42P-R8E6","AMD Ryzen 5 7430U (6 lõi / 12 luồng, Base Clock : 2.3 GHz, Max. Boost Clock : Up to 4.3 GHz, 16MB L3 Cache ; 3MB L2 Cache)","2 khe (1 x 16GB, nâng cấp tối đa 32GB)","AMD Radeon Graphics","512GB PCIe NVMe SSD (Nâng cấp tối đa 2TB)","15.6 inches","1920 x 1080 pixels (FullHD)","Độ sáng 250nits
Màn hình Acer ComfyView LED-backlit TFT LCD
Tỷ lệ 16:9, độ phủ màu 45% NTSC
Góc nhìn rộng
Thiết kế siêu mỏng","58Wh 3-cell Li-ion battery, 65W Type-C Adapter","Windows 11 Home Single Language + Office Home 2024","Bạc","14.690.000₫","",""
"Laptop Acer Gaming Nitro V 15 ANV15-41-R732","AMD Ryzen 5 6600H (6 lõi / 12 luồng, 3.3 GHz - 4.5 GHz / 3 MB L2 cache, up to 16 MB L3 cache)","2 khe (1 x 16GB, nâng cấp tối đa 64GB)","NVIDIA GeForce RTX 4050 6 GB GDDR6 VRAM, hỗ trợ 2560 NVIDIA CUDA Cores","512GB PCIe NVMe SSD (nâng cấp tối đa 4 TB SSD)","15.6 inches","1920 x 1080 pixels (FullHD)","Độ sáng 300nits
Độ phủ màu NTSC 45%
Màn hình LCD TFT đèn nền LED Acer ComfyView","57Whr 4-cell, 135W 5.5PHY Adapter","Windows 11 Home SL","Đen","26.990.000₫","",""
